"customer_id";"campaign_id";"age";"gender";"region";"campaign_type";"engagement_score";"purchase_made";"campaign_start_date";"campaign_end_date";"marketing_channel";"campaign_duration";"engagement_level";"campaign_result";"age_group"
"CUST1021";"CAMP193";49;"Male";"South";"Social Media";6.6;0;"2024-12-23";"2025-02-03";"Google Ads";0;"";"";""
"CUST1022";"CAMP167";56;"Female";"South";"Influencer";7.55;0;"2024-08-16";"2024-12-18";"Radio";0;"";"";""
"CUST1023";"CAMP139";43;"Other";"East";"Radio";9.0;1;"2024-06-26";"2025-03-15";"Facebook";0;"";"";""
"CUST1024";"CAMP131";32;"Male";"East";"Email";5.88;0;"2024-06-05";"2025-04-01";"Email";0;"";"";""
"CUST1025";"CAMP128";18;"Male";"North";"Social Media";0.67;0;"2024-09-28";"2025-05-09";"YouTube";0;"";"";""
"CUST1026";"CAMP142";22;"Other";"South";"TV";6.69;0;"2024-08-25";"2025-01-11";"Email";0;"";"";""
"CUST1027";"CAMP116";64;"Other";"West";"Social Media";7.85;1;"2025-02-13";"2025-04-11";"Instagram";0;"";"";""
"CUST1028";"CAMP112";24;"Other";"West";"TV";4.24;1;"2024-11-21";"2025-01-22";"YouTube";0;"";"";""
"CUST1029";"CAMP193";21;"Other";"North";"Email";4.03;1;"2024-12-25";"2024-12-27";"YouTube";0;"";"";""
"CUST1030";"CAMP113";33;"Male";"South";"Influencer";4.49;1;"2025-01-17";"2025-03-01";"Instagram";0;"";"";""
"CUST1031";"CAMP135";47;"Male";"North";"Radio";8.08;0;"2025-02-03";"2025-04-26";"Facebook";0;"";"";""
"CUST1032";"CAMP183";52;"Male";"North";"Social Media";1.66;1;"2024-06-04";"2024-06-29";"TV";0;"";"";""
"CUST1033";"CAMP127";43;"Male";"South";"Radio";0.02;1;"2024-09-26";"2024-12-16";"Google Ads";0;"";"";""
"CUST1034";"CAMP200";47;"Female";"West";"Influencer";6.62;1;"2024-08-15";"2025-03-10";"Instagram";0;"";"";""
"CUST1035";"CAMP124";36;"Male";"North";"Influencer";7.36;0;"2025-04-20";"2025-04-27";"Radio";0;"";"";""
"CUST1036";"CAMP140";21;"Male";"West";"Influencer";9.19;0;"2025-03-18";"2025-05-12";"Facebook";0;"";"";""
"CUST1037";"CAMP165";23;"Male";"North";"Influencer";0.68;0;"2024-06-06";"2025-04-18";"TV";0;"";"";""
"CUST1038";"CAMP115";54;"Male";"North";"Influencer";0.82;1;"2025-05-04";"2025-05-11";"Google Ads";0;"";"";""
"CUST1039";"CAMP126";60;"Other";"East";"Social Media";2.66;0;"2024-11-15";"2025-02-10";"Radio";0;"";"";""
"CUST1040";"CAMP182";37;"Female";"East";"Email";0.09;0;"2024-11-05";"2025-04-15";"Facebook";0;"";"";""
"CUST1041";"CAMP168";31;"Other";"East";"Social Media";9.33;0;"2024-11-29";"2024-12-27";"Instagram";0;"";"";""
"CUST1042";"CAMP147";36;"Male";"West";"Influencer";7.04;0;"2025-04-09";"2025-04-23";"Radio";0;"";"";""
"CUST1043";"CAMP170";37;"Other";"North";"Social Media";2.64;0;"2024-05-21";"2024-07-19";"Radio";0;"";"";""
"CUST1044";"CAMP170";27;"Female";"East";"Influencer";2.11;1;"2024-11-26";"2025-02-26";"Instagram";0;"";"";""
"CUST1045";"CAMP187";58;"Female";"West";"TV";9.05;0;"2024-05-21";"2024-11-21";"Facebook";0;"";"";""
"CUST1046";"CAMP181";45;"Female";"North";"Email";3.34;0;"2024-09-04";"2024-11-27";"Radio";0;"";"";""
"CUST1047";"CAMP133";28;"Other";"West";"Influencer";7.06;0;"2024-11-11";"2025-02-25";"Facebook";0;"";"";""
"CUST1048";"CAMP109";62;"Male";"North";"TV";5.83;0;"2025-02-16";"2025-04-11";"TV";0;"";"";""
"CUST1049";"CAMP116";20;"Female";"East";"Email";8.99;0;"2024-07-03";"2025-01-01";"Radio";0;"";"";""
"CUST1050";"CAMP131";60;"Male";"East";"Influencer";8.84;1;"2024-06-10";"2024-07-01";"Email";0;"";"";""
"CUST1051";"CAMP195";27;"Male";"South";"Social Media";8.81;0;"2024-08-02";"2025-02-03";"Instagram";0;"";"";""
"CUST1052";"CAMP194";39;"Female";"South";"TV";1.59;0;"2025-03-23";"2025-04-01";"TV";0;"";"";""
"CUST1053";"CAMP104";48;"Male";"South";"Radio";3.5;0;"2025-02-14";"2025-02-26";"Instagram";0;"";"";""
"CUST1054";"CAMP103";60;"Male";"West";"TV";2.79;0;"2024-12-29";"2025-02-21";"YouTube";0;"";"";""
"CUST1055";"CAMP135";40;"Other";"West";"Influencer";3.31;0;"2025-01-19";"2025-03-07";"Facebook";0;"";"";""
"CUST1056";"CAMP133";29;"Other";"East";"Email";1.08;1;"2024-11-18";"2025-02-24";"Google Ads";0;"";"";""
"CUST1057";"CAMP193";38;"Female";"North";"Radio";9.0;0;"2024-08-26";"2024-08-29";"Google Ads";0;"";"";""
"CUST1058";"CAMP105";63;"Female";"North";"Influencer";9.26;0;"2025-01-28";"2025-05-08";"Google Ads";0;"";"";""
"CUST1059";"CAMP155";22;"Other";"East";"Influencer";3.14;0;"2025-03-30";"2025-04-23";"Radio";0;"";"";""
"CUST1060";"CAMP138";50;"Female";"West";"TV";4.02;1;"2024-10-31";"2025-03-27";"Email";0;"";"";""
"CUST1061";"CAMP116";30;"Female";"West";"Social Media";6.16;1;"2024-11-04";"2025-03-31";"TV";0;"";"";""
"CUST1062";"CAMP170";18;"Female";"East";"Social Media";4.3;1;"2025-04-18";"2025-04-22";"TV";0;"";"";""
"CUST1063";"CAMP156";46;"Other";"South";"Influencer";4.73;0;"2025-04-04";"2025-04-18";"Radio";0;"";"";""
"CUST1064";"CAMP110";36;"Other";"East";"Email";8.18;0;"2025-03-06";"2025-04-15";"Radio";0;"";"";""
"CUST1065";"CAMP139";32;"Male";"South";"Email";0.46;1;"2024-12-09";"2025-03-30";"Email";0;"";"";""
"CUST1066";"CAMP198";22;"Female";"West";"Influencer";1.94;1;"2024-07-23";"2025-05-09";"TV";0;"";"";""
"CUST1067";"CAMP151";33;"Male";"North";"Email";7.78;0;"2024-12-14";"2025-04-04";"Instagram";0;"";"";""
"CUST1068";"CAMP189";51;"Female";"North";"Influencer";2.49;0;"2024-06-02";"2024-09-08";"TV";0;"";"";""
"CUST1069";"CAMP117";47;"Other";"East";"Radio";6.13;1;"2024-12-06";"2025-01-08";"YouTube";0;"";"";""
"CUST1070";"CAMP170";46;"Male";"West";"Radio";2.59;0;"2025-01-14";"2025-03-19";"YouTube";0;"";"";""
"CUST1071";"CAMP181";35;"Other";"West";"Social Media";2.75;0;"2024-08-16";"2024-11-04";"Radio";0;"";"";""
"CUST1072";"CAMP136";33;"Female";"East";"TV";8.93;0;"2024-10-30";"2025-03-29";"Instagram";0;"";"";""
"CUST1073";"CAMP119";32;"Female";"South";"Social Media";0.64;1;"2025-04-24";"2025-04-30";"Google Ads";0;"";"";""
"CUST1074";"CAMP169";47;"Female";"North";"Social Media";8.33;1;"2025-04-16";"2025-05-05";"YouTube";0;"";"";""
"CUST1075";"CAMP174";62;"Male";"West";"Radio";0.06;1;"2024-05-13";"2024-06-07";"Google Ads";0;"";"";""
"CUST1076";"CAMP196";42;"Female";"South";"Radio";2.19;1;"2024-08-14";"2025-04-03";"TV";0;"";"";""
"CUST1077";"CAMP103";42;"Female";"West";"Social Media";8.41;0;"2024-10-08";"2024-11-16";"Email";0;"";"";""
"CUST1078";"CAMP168";19;"Female";"North";"Email";6.43;0;"2024-07-09";"2025-02-13";"YouTube";0;"";"";""
"CUST1079";"CAMP159";29;"Male";"East";"Radio";3.27;1;"2024-12-24";"2025-05-09";"Google Ads";0;"";"";""
"CUST1080";"CAMP143";42;"Female";"West";"TV";8.35;1;"2025-02-24";"2025-05-03";"Facebook";0;"";"";""
"CUST1081";"CAMP195";52;"Male";"East";"Social Media";6.5;0;"2024-09-04";"2025-02-03";"YouTube";0;"";"";""
"CUST1082";"CAMP103";33;"Male";"North";"Influencer";1.52;0;"2025-04-07";"2025-04-25";"TV";0;"";"";""
"CUST1083";"CAMP185";25;"Other";"South";"Radio";6.99;1;"2024-06-23";"2025-01-06";"Instagram";0;"";"";""
"CUST1084";"CAMP177";56;"Other";"North";"Social Media";9.65;0;"2025-04-14";"2025-05-04";"Email";0;"";"";""
"CUST1085";"CAMP103";37;"Other";"West";"Radio";9.41;0;"2025-03-14";"2025-04-24";"Facebook";0;"";"";""
"CUST1086";"CAMP175";62;"Other";"South";"Email";6.97;1;"2025-05-05";"2025-05-07";"YouTube";0;"";"";""
"CUST1087";"CAMP187";56;"Male";"North";"TV";5.33;1;"2024-10-23";"2025-01-01";"Facebook";0;"";"";""
"CUST1088";"CAMP164";59;"Female";"North";"Radio";8.22;0;"2024-12-03";"2025-04-01";"TV";0;"";"";""
"CUST1089";"CAMP146";58;"Female";"South";"Radio";1.76;1;"2024-06-02";"2025-01-22";"Email";0;"";"";""
"CUST1090";"CAMP168";48;"Female";"West";"Influencer";2.68;0;"2025-01-27";"2025-01-30";"YouTube";0;"";"";""
"CUST1091";"CAMP111";35;"Female";"South";"Radio";5.7;1;"2024-09-20";"2025-04-26";"Google Ads";0;"";"";""
"CUST1092";"CAMP103";49;"Female";"South";"Radio";2.12;1;"2024-09-25";"2024-09-28";"Google Ads";0;"";"";""
"CUST1093";"CAMP135";56;"Other";"East";"Influencer";0.1;0;"2024-05-17";"2024-07-26";"Facebook";0;"";"";""
"CUST1094";"CAMP130";64;"Female";"West";"Influencer";7.58;1;"2025-01-04";"2025-03-24";"Radio";0;"";"";""
"CUST1095";"CAMP191";49;"Female";"North";"Email";2.94;1;"2024-09-25";"2025-02-06";"Radio";0;"";"";""
"CUST1096";"CAMP131";37;"Other";"East";"Radio";5.53;1;"2024-07-27";"2025-03-12";"TV";0;"";"";""
"CUST1097";"CAMP195";53;"Female";"East";"Radio";2.71;1;"2024-08-05";"2024-12-22";"Instagram";0;"";"";""
"CUST1098";"CAMP115";64;"Male";"East";"Email";7.43;0;"2024-12-31";"2025-04-28";"Instagram";0;"";"";""
"CUST1099";"CAMP127";65;"Female";"East";"Influencer";9.77;1;"2025-02-11";"2025-05-11";"Facebook";0;"";"";""
"CUST1100";"CAMP124";36;"Male";"East";"Social Media";3.02;0;"2024-10-09";"2024-11-08";"Google Ads";0;"";"";""
"CUST1101";"CAMP105";21;"Other";"East";"Social Media";6.38;1;"2025-03-17";"2025-04-18";"Facebook";0;"";"";""
"CUST1102";"CAMP101";54;"Female";"West";"Radio";4.4;0;"2025-02-06";"2025-04-15";"Facebook";0;"";"";""
"CUST1103";"CAMP132";48;"Male";"North";"Radio";4.92;0;"2024-11-28";"2025-03-05";"Instagram";0;"";"";""
"CUST1104";"CAMP119";54;"Female";"North";"Social Media";1.18;1;"2024-10-09";"2024-10-27";"Email";0;"";"";""
"CUST1105";"CAMP176";57;"Male";"West";"Radio";9.09;1;"2025-01-28";"2025-04-15";"YouTube";0;"";"";""
"CUST1106";"CAMP175";45;"Female";"North";"Influencer";9.6;0;"2024-10-26";"2024-12-21";"YouTube";0;"";"";""
"CUST1107";"CAMP126";58;"Male";"East";"Email";1.57;0;"2025-02-18";"2025-03-19";"Email";0;"";"";""
"CUST1108";"CAMP109";28;"Male";"West";"Radio";6.89;1;"2024-07-15";"2025-04-03";"Google Ads";0;"";"";""
"CUST1109";"CAMP104";32;"Female";"East";"Radio";0.71;0;"2024-11-14";"2025-01-27";"Google Ads";0;"";"";""
"CUST1110";"CAMP200";58;"Other";"South";"Radio";1.15;0;"2025-04-22";"2025-05-09";"Radio";0;"";"";""
"CUST1111";"CAMP119";35;"Male";"North";"Email";1.66;1;"2025-03-08";"2025-04-29";"Email";0;"";"";""
"CUST1112";"CAMP195";54;"Female";"West";"Email";4.69;1;"2025-04-01";"2025-04-28";"Radio";0;"";"";""
"CUST1113";"CAMP151";35;"Other";"West";"Radio";0.8;0;"2024-12-01";"2025-01-29";"TV";0;"";"";""
"CUST1114";"CAMP194";38;"Other";"East";"Email";0.91;0;"2025-03-12";"2025-04-28";"YouTube";0;"";"";""
"CUST1115";"CAMP186";35;"Other";"North";"Social Media";4.71;1;"2025-01-11";"2025-02-03";"Google Ads";0;"";"";""
"CUST1116";"CAMP123";55;"Female";"West";"Email";4.7;1;"2024-07-07";"2024-09-28";"Google Ads";0;"";"";""
"CUST1117";"CAMP141";60;"Male";"South";"TV";4.12;1;"2025-03-09";"2025-04-23";"Google Ads";0;"";"";""
"CUST1118";"CAMP184";43;"Other";"North";"Radio";0.88;1;"2024-10-25";"2025-03-25";"Google Ads";0;"";"";""
"CUST1119";"CAMP114";43;"Other";"North";"Influencer";4.62;0;"2025-03-24";"2025-04-30";"Instagram";0;"";"";""
"CUST1120";"CAMP166";41;"Other";"West";"Radio";7.6;0;"2024-05-30";"2024-08-02";"Google Ads";0;"";"";""
"CUST1121";"CAMP170";26;"Female";"West";"Radio";1.21;0;"2024-09-20";"2024-10-28";"Radio";0;"";"";""
"CUST1122";"CAMP120";37;"Other";"North";"Influencer";4.08;0;"2025-01-10";"2025-02-13";"YouTube";0;"";"";""
"CUST1123";"CAMP114";47;"Male";"South";"Radio";9.33;1;"2025-02-05";"2025-04-24";"Email";0;"";"";""
"CUST1124";"CAMP190";35;"Female";"West";"Radio";2.44;0;"2024-05-16";"2024-11-12";"TV";0;"";"";""
"CUST1125";"CAMP124";56;"Other";"South";"Email";2.76;1;"2024-09-23";"2025-01-09";"Google Ads";0;"";"";""
"CUST1126";"CAMP200";50;"Female";"North";"TV";7.26;1;"2024-10-01";"2024-11-05";"YouTube";0;"";"";""
"CUST1127";"CAMP119";46;"Other";"West";"TV";3.32;1;"2024-12-07";"2025-05-05";"TV";0;"";"";""
"CUST1128";"CAMP141";30;"Other";"South";"Influencer";3.83;1;"2024-07-02";"2024-09-06";"Facebook";0;"";"";""
"CUST1129";"CAMP140";65;"Female";"West";"Radio";9.88;0;"2024-12-24";"2025-02-01";"TV";0;"";"";""
"CUST1130";"CAMP104";26;"Other";"East";"Email";8.74;1;"2025-01-12";"2025-04-06";"Facebook";0;"";"";""
"CUST1131";"CAMP167";47;"Male";"South";"Radio";8.71;0;"2024-05-27";"2024-09-17";"Facebook";0;"";"";""
"CUST1132";"CAMP160";34;"Female";"West";"Email";8.52;1;"2024-08-20";"2025-01-31";"Google Ads";0;"";"";""
"CUST1133";"CAMP180";63;"Female";"North";"Influencer";0.68;1;"2024-12-23";"2025-03-17";"Instagram";0;"";"";""
"CUST1134";"CAMP195";23;"Female";"North";"Email";4.44;1;"2025-03-02";"2025-03-06";"Facebook";0;"";"";""
"CUST1135";"CAMP105";38;"Male";"East";"TV";3.75;0;"2024-07-22";"2024-10-14";"Instagram";0;"";"";""
"CUST1136";"CAMP167";44;"Other";"South";"Social Media";1.75;1;"2025-02-09";"2025-03-16";"Email";0;"";"";""
"CUST1137";"CAMP187";33;"Female";"South";"Social Media";4.61;1;"2024-09-03";"2024-09-09";"TV";0;"";"";""
"CUST1138";"CAMP132";60;"Male";"West";"TV";6.78;0;"2025-02-21";"2025-03-12";"Facebook";0;"";"";""
"CUST1139";"CAMP156";40;"Other";"East";"Radio";6.9;1;"2024-11-04";"2025-03-16";"YouTube";0;"";"";""
"CUST1140";"CAMP138";30;"Female";"West";"Email";2.37;1;"2024-10-12";"2024-12-30";"Email";0;"";"";""
"CUST1141";"CAMP137";62;"Female";"North";"Radio";2.74;0;"2024-11-19";"2025-04-13";"Email";0;"";"";""
"CUST1142";"CAMP195";49;"Female";"South";"Influencer";8.02;0;"2024-09-08";"2024-12-26";"Radio";0;"";"";""
"CUST1143";"CAMP124";57;"Female";"South";"Email";9.03;0;"2024-12-12";"2025-04-29";"Google Ads";0;"";"";""
"CUST1144";"CAMP200";46;"Male";"East";"Social Media";0.9;1;"2024-08-16";"2025-01-19";"Google Ads";0;"";"";""
"CUST1145";"CAMP195";44;"Male";"South";"Social Media";7.87;1;"2025-02-08";"2025-03-11";"Email";0;"";"";""
"CUST1146";"CAMP164";35;"Male";"East";"Radio";9.67;1;"2025-03-25";"2025-04-25";"Radio";0;"";"";""
"CUST1147";"CAMP143";25;"Female";"North";"Social Media";7.54;0;"2024-10-17";"2025-04-24";"YouTube";0;"";"";""
"CUST1148";"CAMP186";64;"Other";"West";"Influencer";3.66;1;"2025-01-03";"2025-03-17";"Facebook";0;"";"";""
"CUST1149";"CAMP133";52;"Male";"West";"TV";6.73;1;"2024-06-24";"2024-09-05";"Email";0;"";"";""
"CUST1150";"CAMP148";58;"Female";"North";"Social Media";4.71;1;"2024-05-23";"2024-06-30";"Email";0;"";"";""
"CUST1151";"CAMP128";59;"Male";"West";"TV";6.49;0;"2025-02-12";"2025-03-03";"Instagram";0;"";"";""
"CUST1152";"CAMP105";20;"Female";"West";"Email";0.97;0;"2024-05-26";"2024-07-31";"TV";0;"";"";""
"CUST1153";"CAMP158";41;"Other";"West";"Influencer";7.42;0;"2025-01-07";"2025-03-13";"TV";0;"";"";""
"CUST1154";"CAMP183";24;"Female";"West";"TV";0.33;1;"2025-02-19";"2025-04-25";"Instagram";0;"";"";""
"CUST1155";"CAMP156";46;"Male";"East";"Email";9.81;1;"2024-06-30";"2025-02-25";"Email";0;"";"";""
"CUST1156";"CAMP182";40;"Male";"West";"TV";1.9;0;"2024-10-22";"2025-05-02";"YouTube";0;"";"";""
"CUST1157";"CAMP158";23;"Other";"South";"Influencer";9.71;0;"2025-02-23";"2025-03-31";"YouTube";0;"";"";""
"CUST1158";"CAMP142";33;"Male";"South";"Email";8.3;0;"2025-01-14";"2025-04-30";"Email";0;"";"";""
"CUST1159";"CAMP127";32;"Female";"South";"Influencer";0.03;0;"2025-01-23";"2025-04-20";"Instagram";0;"";"";""
"CUST1160";"CAMP169";34;"Male";"North";"Email";1.32;1;"2024-08-02";"2024-11-24";"YouTube";0;"";"";""
"CUST1161";"CAMP200";33;"Other";"East";"Email";1.74;0;"2024-10-25";"2024-12-01";"Instagram";0;"";"";""
"CUST1162";"CAMP194";44;"Other";"North";"Email";4.76;1;"2025-03-18";"2025-03-23";"Email";0;"";"";""
"CUST1163";"CAMP175";24;"Female";"South";"Influencer";0.43;1;"2025-03-20";"2025-04-17";"TV";0;"";"";""
"CUST1164";"CAMP182";19;"Male";"West";"Radio";4.26;0;"2025-03-01";"2025-04-12";"TV";0;"";"";""
"CUST1165";"CAMP191";46;"Male";"North";"TV";6.08;0;"2025-01-25";"2025-05-06";"Instagram";0;"";"";""
"CUST1166";"CAMP135";57;"Other";"East";"Radio";9.95;1;"2024-07-28";"2024-08-31";"TV";0;"";"";""
"CUST1167";"CAMP164";56;"Female";"North";"Email";8.53;0;"2024-06-04";"2025-01-10";"TV";0;"";"";""
"CUST1168";"CAMP157";32;"Female";"East";"Radio";3.99;0;"2024-08-29";"2025-01-07";"Google Ads";0;"";"";""
"CUST1169";"CAMP154";38;"Other";"East";"TV";9.54;1;"2025-01-12";"2025-01-14";"Facebook";0;"";"";""
"CUST1170";"CAMP111";23;"Male";"West";"Email";7.45;1;"2025-02-01";"2025-03-04";"YouTube";0;"";"";""
"CUST1171";"CAMP116";53;"Male";"East";"Email";4.11;1;"2024-07-02";"2024-07-27";"YouTube";0;"";"";""
"CUST1172";"CAMP192";21;"Female";"East";"TV";1.04;0;"2024-09-22";"2025-01-24";"Instagram";0;"";"";""
"CUST1173";"CAMP184";48;"Male";"North";"TV";8.45;1;"2025-02-08";"2025-03-03";"Facebook";0;"";"";""
"CUST1174";"CAMP197";35;"Other";"South";"Radio";8.45;0;"2024-06-20";"2025-03-07";"Email";0;"";"";""
"CUST1175";"CAMP184";62;"Female";"North";"Social Media";2.73;1;"2024-11-17";"2024-12-19";"Google Ads";0;"";"";""
"CUST1176";"CAMP144";18;"Male";"South";"Influencer";6.57;0;"2025-04-06";"2025-05-08";"Instagram";0;"";"";""
"CUST1177";"CAMP194";58;"Male";"North";"Influencer";2.15;1;"2025-04-26";"2025-05-12";"TV";0;"";"";""
"CUST1178";"CAMP143";28;"Female";"East";"TV";7.77;0;"2024-06-27";"2024-08-22";"Facebook";0;"";"";""
"CUST1179";"CAMP119";28;"Other";"North";"Email";2.72;1;"2025-01-12";"2025-03-26";"TV";0;"";"";""
"CUST1180";"CAMP177";46;"Female";"East";"Social Media";7.55;0;"2024-10-12";"2024-12-02";"Google Ads";0;"";"";""
"CUST1181";"CAMP155";25;"Female";"West";"Influencer";6.67;0;"2025-01-10";"2025-01-10";"Instagram";0;"";"";""
"CUST1182";"CAMP150";56;"Male";"North";"Social Media";3.01;0;"2024-07-31";"2024-09-13";"YouTube";0;"";"";""
"CUST1183";"CAMP117";34;"Female";"East";"Email";0.08;1;"2025-04-17";"2025-04-29";"Instagram";0;"";"";""
"CUST1184";"CAMP116";42;"Other";"South";"Influencer";5.59;1;"2024-12-05";"2025-02-01";"Facebook";0;"";"";""
"CUST1185";"CAMP150";65;"Male";"West";"Email";4.6;0;"2024-09-12";"2024-10-26";"YouTube";0;"";"";""
"CUST1186";"CAMP140";54;"Female";"West";"Radio";2.9;1;"2025-02-23";"2025-03-27";"Facebook";0;"";"";""
"CUST1187";"CAMP141";28;"Other";"West";"TV";0.88;0;"2025-03-13";"2025-05-01";"Instagram";0;"";"";""
"CUST1188";"CAMP155";55;"Female";"North";"Radio";8.71;1;"2024-08-10";"2025-01-16";"Instagram";0;"";"";""
"CUST1189";"CAMP142";28;"Male";"North";"Influencer";5.1;1;"2024-09-13";"2025-03-24";"Google Ads";0;"";"";""
"CUST1190";"CAMP193";59;"Male";"South";"Email";1.46;0;"2024-07-07";"2024-08-17";"Instagram";0;"";"";""
"CUST1191";"CAMP177";27;"Other";"North";"Social Media";9.51;1;"2025-04-21";"2025-05-02";"TV";0;"";"";""
"CUST1192";"CAMP196";54;"Other";"West";"Influencer";6.43;1;"2025-05-08";"2025-05-10";"YouTube";0;"";"";""
"CUST1193";"CAMP180";38;"Male";"West";"Email";4.69;1;"2025-04-26";"2025-05-07";"YouTube";0;"";"";""
"CUST1194";"CAMP135";55;"Male";"East";"Influencer";0.74;1;"2024-09-28";"2024-12-31";"TV";0;"";"";""
"CUST1195";"CAMP104";21;"Female";"East";"Email";6.45;0;"2024-07-31";"2024-10-06";"Email";0;"";"";""
"CUST1196";"CAMP176";50;"Female";"West";"Influencer";5.54;0;"2024-12-15";"2025-01-12";"TV";0;"";"";""
"CUST1197";"CAMP173";59;"Male";"East";"Influencer";4.76;0;"2024-08-21";"2024-08-28";"Facebook";0;"";"";""
"CUST1198";"CAMP157";24;"Female";"North";"Influencer";6.46;0;"2025-03-10";"2025-03-26";"Instagram";0;"";"";""
"CUST1199";"CAMP190";46;"Female";"South";"TV";3.73;1;"2024-07-31";"2024-10-12";"TV";0;"";"";""
"CUST1200";"CAMP152";39;"Other";"North";"TV";0.66;0;"2024-07-28";"2024-11-10";"Email";0;"";"";""
"CUST1201";"CAMP186";42;"Female";"East";"Influencer";8.73;1;"2025-01-20";"2025-04-04";"Facebook";0;"";"";""
"CUST1202";"CAMP174";60;"Male";"East";"TV";9.68;1;"2024-06-16";"2025-04-30";"Instagram";0;"";"";""
"CUST1203";"CAMP176";63;"Male";"East";"Influencer";3.77;1;"2024-09-14";"2024-10-01";"YouTube";0;"";"";""
"CUST1204";"CAMP116";60;"Other";"North";"Radio";5.08;0;"2024-11-08";"2024-11-09";"Google Ads";0;"";"";""
"CUST1205";"CAMP139";29;"Male";"East";"Radio";1.92;0;"2025-01-21";"2025-02-25";"Instagram";0;"";"";""
"CUST1206";"CAMP109";36;"Male";"North";"TV";8.76;0;"2024-08-04";"2024-09-18";"Email";0;"";"";""
"CUST1207";"CAMP148";27;"Male";"South";"Influencer";8.09;0;"2024-12-12";"2025-05-10";"Radio";0;"";"";""
"CUST1208";"CAMP156";20;"Female";"East";"Social Media";9.7;1;"2024-11-04";"2025-01-16";"YouTube";0;"";"";""
"CUST1209";"CAMP195";46;"Male";"South";"TV";9.66;1;"2024-10-05";"2024-10-06";"YouTube";0;"";"";""
"CUST1210";"CAMP124";41;"Other";"West";"Radio";7.69;1;"2024-10-07";"2025-01-10";"Email";0;"";"";""
"CUST1211";"CAMP167";44;"Male";"South";"Influencer";1.38;1;"2024-08-16";"2024-11-14";"Facebook";0;"";"";""
"CUST1212";"CAMP182";48;"Female";"North";"Influencer";8.51;1;"2024-08-25";"2025-02-21";"Facebook";0;"";"";""
"CUST1213";"CAMP197";28;"Female";"West";"Influencer";1.47;1;"2025-04-05";"2025-05-11";"Facebook";0;"";"";""
"CUST1214";"CAMP128";46;"Female";"North";"Radio";0.53;1;"2025-04-17";"2025-04-29";"Instagram";0;"";"";""
"CUST1215";"CAMP149";23;"Female";"South";"Email";3.19;0;"2025-01-29";"2025-02-02";"YouTube";0;"";"";""
"CUST1216";"CAMP191";59;"Female";"South";"Social Media";0.38;1;"2024-08-10";"2024-08-29";"Radio";0;"";"";""
